OriginalFoodCode;OriginalFoodName;EnglishFoodName;EdiblePortion;FoodGroupIS1;FoodGroupIS2;0001;0002;0003;0004;0005;0006;0008;0009;0010;0011;0012;0013;0014;0015;0016;0017;0018;0019;0020;0021;0022;0023;0024;0025;0026;0028;0029;0031;0032;0033;0034;0035;0036;0037;0038;0039;0040;0041;0042;0044;0046;0137;0138
Fæðunúmer;Heiti;Enskt heiti;Ætur hluti;Fæðuflokkur;Undirflokkur;Prótein;Fita;Mettaðar fitusýrur;cis-Einómettaðar fitusýrur;cis-Fjölómettaðar fitusýrur;cis-Fjölómettaðar fitus. n-3 langar;trans-Fitusýrur;Kólesteról;Kolvetni, alls;Sykrur;Viðbættur sykur;Trefjaefni;Alkóhól;Steinefni, alls;Vatn;A-vítamín, RJ;Retinol;Beta-karótín;D-vítamín;E-vítamín, alfa-TJ;Alfa-tókóferol;B1-vítamín;B2-vítamín;Níasín-jafngildi;Níasín;B6-vítamín;Fólat, alls;B-12 vítamín;C-vítamín;Kalk;Fosfór;Magnesíum;Natríum;Kalíum;Járn;Sink;Kopar;Joð;Mangan;Selen;Flúor;cis-Fjölóm. fitus. n-6;cis-Fjölóm. fitus. n-3
;;;;;;g;g;g;g;g;g;g;mg;g;g;g;g;g;g;g;µg;µg;µg;µg;mg;mg;mg;mg;mg;mg;mg;µg;µg;mg;mg;mg;mg;mg;mg;mg;mg;mg;µg;mg;µg;mg;g;g
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0922;MORGUNKORN, Weetabix, vítamínbætt;Breakfast cereal, Weetabix, vitamins added;100;4;3;11,5;2,0;0,29;0,22;0,92;0;0;0;68,4;4,4;2,8;10,0;;2,3;5,8;0;0;;0;1,03;1,03;1,2;1,4;19,5;17,4;0,22;170;0;0;35;290;120;260;370;11,9;2,0;0,54;0,9;0,08;2;0,05;0,85;0,07
0923;NANBRAUÐ;Nan bread;100;4;4;8,8;8,7;4,0;4,3;0,4;0;0;10;50,7;2,3;0;2,7;;2;27,1;93,5;90;42;0,21;1,38;1,38;0,19;0,10;3;1,2;0,08;14;;0;160;130;28;432;180;1,3;0,8;0,12;19;0,41;4,7;0,01;0,35;0,05
0924;BÆTIEFNI, Magnamín;Vitamin capsule, Magnamin;100;17;1;0;0;;;;;;;0;;;;;;0;412,5;300;1350;5;5;5;0,75;0,85;10;10;1;200;1,5;30;0;0;50;;;9;7,5;1;75;1,25;40;;;
0925;NÚÐLURÉTTUR, hrísgrjóna-, tilbúinn;Noodle dish, rice noodle, ready to serve;100;16;2;0,91;0,2;0,023;0,026;0,023;0;0;0;23,9;0;0;1,0;;0,18;74,4;0;0;0;0;0;0;0,018;0,004;0,072;0,072;0,006;3;0;0;4;20;3;19;4;0,14;0,25;0,038;;0,114;4,5;;0,019;0,004
0926;OSTASLAUFUR;Bread sticks with cheese;100;4;4;9,9;10,8;3,2;2,7;2,7;0;0,4;24;43,9;2,4;1,4;3,0;;2,7;29,8;19,9417;18,8;13,7;0,02;0,53;0,53;0,25;0,15;3,21;1,22;0,14;49;0,17;0,09;161;235;50;607;179;1,75;1,12;0,27;3,36;0,42;4,7;;1,7;1,0
0927;PASTARÉTTUR með grænmeti og rjóma, soðinn;Pasta dish, with vegetables and cream, boiled;100;16;2;6,9;13,5;5,7;4,4;1,6;0;0,3;29;9,6;1,4;0;1,1;;1,5;66,9;65,4167;58;89;0,07;0,75;0,75;0,07;0,11;1,6;0,82;0,05;21;0,26;5,4;66;130;14;390;170;0,61;0,78;0,06;4,3;0,16;4,0;;;
0928;PASTARÉTTUR m skinku, soðinn;Pasta dish, with ham, cooked;100;16;2;5,8;5,4;2,0;1,5;1,2;0;0,1;14;10,8;1,4;0,2;0,9;;1,0;75,2;36;35;12;0,05;0,64;0,64;0,11;0,10;1,8;1,2;0,06;8,1;0,11;0,60;24;89;13;250;160;0,46;0,49;0,07;1,5;0,12;5,1;;;
0929;PITSUSNÚÐAR;Pizza roll;100;4;4;11,0;11,5;;;;;;;30,1;2;1;1;;2,0;44,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0930;POPPKORN, örbylgju-, létt, Richfood;Pop corn, microwave-, low fat, popped, Richfood;100;14;1;10;10,4;2,1;3,1;1,6;0;2,2;0;60;0;0; 15;;   2,5;2,1;5,25;0;63;0;0,120;0,120;0,134;0,136;2,25;1,55;0,209;17;0;0;10;250;108;565;220;2,2;4,11;;0,50;1,23;3,0;;1,6;0
0931;TORTILLA, úr maís;Tortilla, maize;100;4;4;5,7;2,5;0,334;0,649;1,122;;;0;41,4;2;0;5,2;;1,2;44,1;0;0;0;0;0,153;0,153;0,112;0,073;1,5;1,498;0,219;114;0;0;175;314;65;161;154;1,40;0,94;0,154;;;5,5;;;
0932;MORGUNKORN, Magic Stars;Breakfast cereal, Magic Stars;100;4;3;6,7;3,3;0;0;0;;;0;78,9;43,3;43,3;3,3;;3,0;4,8;150;;;;;;;;;;;;;6;10;;;533;167;4,5;;;;;;;;
0933;TORTILLA, úr hveiti;Tortilla, wheat;100;4;4;8,7;7,1;1,75;3,77;1,06;0;0;0;52,3;2;0;  3,3;;1,8;26,8;0;0;0;0;0,916;0,916;0,531;0,293;3,6;3,572;0,050;123;0;0;125;124;26;478;131;3,30;0,71;0,267;;0,462;23,4;;1,01;0,05
0934;BAUNIR, gular, soðnar;Peas, yellow, boiled;100;5;4;6,7;1,6;0,56;0,47;0,17;0;0;0;10,9;0,4;0;4,5;;0,7;75,6;33,75;0;405;0;0,21;0,21;0,70;0,03;2,9;1,8;0,09;27;0;16;19;130;29;0,5;230;1,5;1,0;0,03;2;0,4;0,5;;0,13;0,04
0935;BAUNIR, kjúklingabaunir, soðnar;Peas, chick-peas, boiled;100;5;4;8,4;2,1;0,2;0,6;1,3;0;0;0;17,6;1,0;0;5,1;;1;65,8;1,91667;0;23;0;1,10;1,10;0,10;0,07;1,8;0,7;0,14;54;0;0;46;83;45;5;270;2,1;1,2;0,28;0,9;0,7;1;;1,8;0,3
0936;BAUNIR, linsubaunir, soðnar;Lentils, boiled;100;5;4;8,8;0,7;0,1;0,2;0,4;0;0;0;19,0;0,4;0;3,8;;1;66,7;2,5;0;30;0;0,4;0,4;0,14;0,08;1,8;0,6;0,3;30;0;0;22;130;34;3;310;3,5;1,4;0,33;0,3;0,5;4;;0,3;0,1
0937;BAUNIR, sojabaunir, soðnar;Beans, soy, boiled;100;5;4;14,0;7,3;1,0;1,7;4,1;0;0;0;7,3;2,1;0;6,1;;1;64,3;0,5;0;6;0;1,13;1,13;0,12;0,09;2,7;0,5;0,23;54;0;0;83;250;63;1;510;3,0;0,9;0,32;2;0,7;5;;3,6;0,5
0938;BLÓMKÁL, soðið;Cauliflower, boiled;100;5;2;2,1;0,4;0,08;0,03;0,23;0;0;0;1,9;1,9;0;2,7;0;0,8;92,0;0,316667;0;3,8;0;0,35;0,35;0,06;0,06;0,69;0,38;0,10;88;0;25;16;44;15;14;290;0,24;0,22;0,03;1,4;0,12;;;0,03;0,20
0939;GRÆNMETISSAFI;Vegetable juice;100;12;4;1;0,5;;;;;;0;4,5;;;0,5;;0,5;93;58,3333;0;700;0;0,320;;0,043;0,028;0,75;0,726;0,14;21;0;27,7;11;17;11;270;193;0,42;0,20;0,2;;;;;;
0940;GULRÓFUR, soðnar;Swede, boiled;100;5;1;1,7;0,1;0,02;0,01;0,03;0;0;0;5,7;5,4;0;3,5;0;0,7;88,3;0,391667;0;4,7;0;0,11;0,11;0,05;0,04;1,0;0,88;0,08;30;0;25;24;36;13;18;272;0,21;0,18;0,07;0,3;0,12;0,2;;;
0941;GULRÆTUR, soðnar;Carrots, boiled;100;5;1;0,74;0,42;0,09;0,01;0,25;0;0;0;5,8;5,0;0;2,8;0;0,7;89,7;529,167;0;6350;0;0,31;0,31;0,04;0,01;0,66;0,59;0,03;12;0;3;23;16;12;30;246;0,24;0,20;0,06;0,70;0,25;0,10;;0,22;0,03
0942;HVÍTKÁL, soðið;White cabbage, boiled;100;5;2;1,4;0,21;0,04;0;0,12;0;0;0;4,3;4,3;0;2,4;0;0,6;91,1;5,25;0;63;0;0,04;0,04;0,03;0,03;0,32;0,25;0,07;41;0;17;32;25;11;15;242;0,17;0,11;0,02;0,7;0,14;0,10;;;
0943;HVÍTLAUKUR, í olíu;Garlic, in vegetable oil;100;5;1;5,8;10,2;1,6;2,3;6,2;0;0,04;0;28,4;3,5;0;1,4;;1,4;52,7;0;0;0;0;1,1;0,6;0,12;0,03;1,3;0,3;0,34;4,5;0;28;16;137;23;15;360;1,7;0,90;0,05;2,7;0,45;1,8;;5,5;0,7
0944;FRANSKAR KARTÖFLUR, ofnsteiktar;French fries, oven baked;100;5;9;3,2;4,2;0,6;0,9;2,4;0;0;0;29,5;0,67;0;2,8;;1,8;58,5;0;0;;0;0,44;0,44;0,11;0,04;2,7;2,2;0,37;21;0;6;12;120;27;300;530;0,8;0,4;0,22;0;0,2;0,2;0,009;2,2;0,26
0945;RÓSAKÁL, soðið;Brussels sprouts, boiled;100;5;2;3,7;1,5;0,3;0,1;0,8;0;0;0;2,8;2,2;0;4,6;0;0,8;86,6;26,6667;0;320;0;0,90;0,90;0,07;0,09;0,7;0,2;0,19;110;0;60;20;61;13;2;310;0,5;0,3;0,03;1;0,2;;;;
0946;SPERGILKÁL, soðið;Broccoli, boiled;100;5;2;5,6;1,0;0,21;0,11;0,53;0;0;0;1,6;1,6;0;3,6;0;1,2;88,3;42,0833;0;505;0;1,3;1,3;0,06;0,19;1,3;0,63;0,13;98;0;39;56;87;22;8;395;0,71;0,56;0,05;0,60;0,41;;0,01;0,26;0,26
0947;LGG+, m ávaxtasafa og sætuefni;LGG+, milk, cultured, w fruit juice & sweetener;100;1;2; 2,8;0;0;;;;;1;5,4;5,4;0;0;;0,6;91,3;0,8;0,8;;0;0;;0,04;0,14;0,78;0,09;0,04;3,4;0,34;0,9;92;82;8,1;33;130;0,1;0,4;;12,2;;1,6;;;
0948;TÓMATAR, sólþurrkaðir, í olíu;Tomatoes, dried, in oil;100;5;8;5,06;14,08;1,9;8,7;2,1;0;0;0;17,5;17,5;0;5,8;;3,7;53,8;64,5;0;774;0;1,5;1,5;0,193;0,383;4,4;3,63;0,319;23;0;101,8;47;139;81;266;1565;2,68;0,78;0,473;0,4;0,466;3,0;;2,0;0,1
0949;TÓMATSAFI;Tomato juice;100;12;4;1;0,1;0,018;0,012;0,048;;;0;4;4;0;0,4;;1,1;93,6;25,9167;0;311;0;0,74;0,74;0,050;0,030;0,95;0,80;0,19;6,0;0;61,7;7,0;18;10;221;235;0,90;0,30;0,11;0,20;0,11;0;;;
0950;MELÓNUR, kantalúpmelónur;Melon, cantaloupe;51;6;1;0,5;0,1;0,023;0,012;0,029;0;0;0;  8,5;8,5;;0,6;;0,6;89,7;82,5;0;990;0;0,14;0,14;0,04;0,02;0,63;0,60;0,059;5;0;28;6,0;10;7,0;10;271;0,10;0,16;0,041;;0,018;;;0,012;0,018
0951;LGG+, með ávaxtasafa og sykri;LGG+, milk, cultured, w fruit juice & sugar;100;1;2;1,3;0;0;0;0;0;0;0;12,0;12,0;10,6;0,3;;0,5;86,2;0;0;0;0;0;0;0,02;0,08;0,4;0,04;0,02;2;0,2;4;60;40;5;20;80;0,01;0,2;;5;;0,8;;;
0952;KAKÓDRYKKUR, Swiss Miss án viðb sykurs;Cocoa drink, Swiss Miss, no sugar added;100;12;1;1,8;0,3;0;0,2;0,1;0;0;0;5,3;4,1;0;0,6;0;0,5;91,5;0;0;0;0;0;0;0,013;0,078;0,081;;0,016;0;0,18;0,2;170;43;12;94;98;0,4;0,22;0,045;;;;;0,1;0
0953;SMJÖRLÍKI, MH;Margarine, MH;100;10;5;0,1;81,6;38,8;23;15,2;0;0,4;0;0;0;0; 0;; 1,7;21,1;25;0;300;0;11,8;11,8;0,01;0,4;0;0;0,01;1;0,1;0;8;13;2;682;15;1,10;;;;;;;12,8;2,4
0954;SMJÖRLÍKI, heimilis-, Kjarnavörur;Margarine, heimilis-;100;10;5;0,1;80;;;;;;;0,4;0;0;0;0;1,7;17,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0955;BORÐSMJÖRLÍKI, Bertolli;Table margarine, Bertolli;100;10;5;0,2;59;14;30;14,5;0;0,5;0;1;1;0;0;;1,6;38,2;65;40;300;0,38;10;10;0,01;0,02;0;0;0;0;0;0;15,1;15,7;2,2;400;50,9;0;0;0;0;0;0;;10,9;1,97
0956;BORÐSMJÖRLÍKI, Plús-3;Table margarine, Plús-3;100;10;5;0,6;58,2;23;25;7,5;0;;150;0,7;;0,7;0;;2,2;38,3;356;350;72;7,5;   4;4;0,02;0,09;1,7;0,1;0;   0;0;0;69,9;151;6,2;480;116;0,090;0,047;0;5,4;0,011;0;;4,5;3,0
0957;ÞORSKALÝSI, krakkalýsi;Cod liver oil, for children;100;10;2;0;100;22;39;39;23,9;0;;0;0;0;0;0;0;0;3000;3000;0;200;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0,12;0,077;0;0;0;0;;2,9;30
0958;SÓSA, SALATSÓSA, olíusalatsósa;Dressing, vinaigrette ;100;15;1;0,2;46,1;7,19;9,82;27,11;0;0;0;1,8;0;0;0;0;2,9;47;0,0833333;0;1;0;4,66;4,66;0;0;0;0;0;0;0;0;6;6;5,7;1812;17,5;0,2;0;0,01;0;0;0;;22;5
0959;SÚKKULAÐI, Mars;Chocolate, Mars;100;11;3;5,3;18,9;10,0;7,2;0,8;0;0,5;25;65,9;62,7;62,7;0,9;;2,1;6,9;10,3333;7;40;0;2,1;2,1;0,05;0,20;1,1;0,2;0,03;10;0;0;160;150;35;150;250;1,1;1,0;0,31;62,3;0,49;2;0,01;0,70;0,09
0960;SÚKKULAÐI, Bounty;Chocolate, Bounty;100;11;3;4,8;26,1;21,2;3,2;0,4;0;0,12;10;58,5;51,1;51,1;3;0;2,1;7,6;3,33333;0;40;0;2,1;2,1;0,04;0,10;1,1;0,3;0,03;10;0;0;110;140;43;180;320;1,3;1,26;0,47;62,3;0,16;4,4;0,01;0,37;0,02
0961;SÚKKULAÐI, Snickers;Chocolate, Snickers;100;11;3;9,6;23,9;9,1;7,9;3,0;0;0;25;54,3;42,1;42,1;1,2;;2,1;5,9;8,33333;7;16;0;2,1;2,1;0,05;0,18;3,9;3,0;0,19;40;0;0;120;210;60;230;330;0,8;1,2;0,24;62,3;0,49;4,4;0,01;3,0;0,05
0962;ÍÞRÓTTADRYKKUR, Leppin;Sport drink, Leppin;100;12;5;0,0;0,0;0,0;0;0;0;;;9,1;1,2;1,2;0,0;;;90,9;0;0;;0;0;;0;0;0;0;0;0;0;10;0,48;50;0;10;50;0;;;;;;;0;0
0963;ÍÞRÓTTADRYKKUR, Aquarius;Sport drink, Aquarius;100;12;5;0;0;0;0;0;0;0;;6;6;6;0;;0,5;93,5;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;0;0
0964;ÍÞRÓTTADRYKKUR, Prímus, vanilla og jarðarber;Sport drink, Primus, with vanilla and strawberry;100;12;5;7,2;1,1;0,4;0,4;0,3;0;0;;5,9;1,2;1,2;2,7;;1,5;81,6;60;60;0;0,43;0,86;0,86;0,10;0,14;1,7;1,54;0,14;17,1;0,13;4,3;161;150;25;50;159;1,40;1,10;0,10;10,9;0,17;3,60;;0,2;0,1
0965;KAKÓDRYKKUR, Swiss-Miss með sykri;Cocoa drink, Swiss-Miss;100;12;1;1,2;1,3;0,6;0,3;0,3;0;0;0;12,4;10;8;0,6;;0,5;84;0;0;0;0;0;0;0,013;0,078;0,081;0,081;0,016;0;0,18;0;24;43;12;76;98;0,4;0,22;0,045;;0,038;0,4;;0,3;0
0966;ORKUDRYKKUR, Egils orka;Energy drink, Egils orka;100;12;5;0;0;0;0;0;0;0;0;12,5;12,5;12,5;0;;0;87,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;;;;;;;;
0967;ORKUDRYKKUR, Magic;Energy drink, Magic;100;12;5;0,5;0;0;0;0;0;0;0;11;11;9;;;      0,1;88,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
0968;ORKUDRYKKUR, Blue Pig;Energy drink, Blue Pig;100;12;5;0;0;0;0;0;0;0;0;10,9;10,9;10,9;0;;0,5;88,6;;;;;;;;;3;3;0,3;;169;;;;;;;;;;;;;;;
0969;FISKBOLLUR, með gulrótum og kartöflum, 1944 réttur;Fish balls, with carrots and potatoes, 1944 dish;100;16;4;7;7;;;;;;;11;;;;;1,75;73,2;;;;;;;;;;;;;;;;;;300;;;;;;;;;;
0970;LASAGNE, grænmetislasagne, með sósu, 1944 réttur;Lasagne, vegetable, with sauce, 1944 dish;100;16;2;4;4;;;;;;;12;;;;;1,8;78,2;;;;;;;;;;;;;;;;;;320;;;;;;;;;;
0971;PASTARÉTTUR, 1944 réttur;Pasta dish, 1944 dish;100;16;2;5;6;;;;;;;16;;;;;2,2;    70,8;;;;;;;;;;;;;;;;;;480;;;;;;;;;;
0972;SÚPA, kakósúpa, 1944 réttur;Soup, cocoa soup, 1944 dish;100;15;2;3;2;;;;;;;14;;;;;0,5;80,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0973;KALKÚNABRINGA, með kartöflum, 1944 réttur;Turkey breast, with potatoes, 1944 dish;100;16;3;6;3;;;;;;;7;;;;;1;83;;;;;;;;;;;;;;;;;;50;;;;;;;;;;
0974;LASAGNE, kjúklingalasagne, 1944 réttur;Lasagne, chicken, 1944 dish;100;16;2;9;5;;;;;;;16;;;;;1;69;;;;;;;;;;;;;;;;;;100;;;;;;;;;;
0975;KJÖT Í KARRÍSÓSU, með hrísgrjónum, 1944 réttur;Meat in curry sauce, with rice, 1944 dish;100;16;3;7,1;4,1;;;;;;;11,8;1;1;0,5;;1,7;74,7;;;;;;;;;;;;;;;;;;300;;;;;;;;;;
0976;LASAGNE, 1944 réttur;Lasagne, 1944 dish;100;16;2;9;5;;;;;;;11;;;;;    2,3;72,7;;;;;;;;;;;;;;;;;;530;;;;;;;;;;
0977;BAKA, grænmetisbaka;Pie, with vegetable;100;16;5;3,0;7,6;1,9;2,3;3,0;0;0;0;17,0;3,0;1,0;1,8;;1,9;68,7;176,833;71;1270;0,7;0,46;0,46;0,12;0,10;1,8;1,2;0,15;15;0;9;41;58;14;210;250;0,8;0,3;0,10;6;0,2;2;;2;1
0978;BAKA, ostabaka, m/ spergilkáli;Pie, cheese pie with broccoli;100;16;5;11;10;5;2,5;2,5;;;;      9,5;2;0;1,5;;2; 66,0;;;;;;;;;;;;;;;200;;;310;;;;;;;;;;
0979;BAKA, ostabaka, m/ skinku;Pie, cheese pie with ham;100;16;3;14;16;4;2;2;;;;    11;2;0;1;;2;56;;;;;;;;;;;;;;;230;;;430;;;;;;;;;;
0980;BIXIMATUR, steiktur;Meat dish, meat and potatoes, fried;100;16;3;9,5;5,9;2,0;2,0;1,4;0;0,16;29;8,9;0,7;0;1,3;;2,9;71,6;12,175;11,5;8,1;0,11;0,38;0,37;0,096;0,103;3,6;2,4;0,109;11;0,78;4,4;9,2;105;29,6;782;377;1,02;0,94;0,13;0,9;0,16;2,7;0,02;1,1;0,25
0981;BRAUÐSAMLOKA, Subway, með grænmeti, kjöti og osti, án sósu;Sandwich, Subway, with vegetables, meat and cheese, without sauce;100;16;1;9,6;5,9;2,1;2,2;0,7;0;0,2;17;15,9;1,4;0,3;1,7;;2,0;65,0;28,3333;20;100;0,01;0,54;0,53;0,18;0,10;3,6;2,1;0,15;23;0,21;9,7;84;150;25;540;200;0,62;0,92;0,09;4,1;0,25;8,5;0,02;;
0982;BURRITO, hveititortilla m. fyllingu;Burrito, tortilla with filling;100;16;1;13,5;8,2;3,4;3,3;0,7;;;56;  19;1;0;2;;2,2;55,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0983;HRÍSGRJÓNAGRAUTUR, úr léttmjólk;Rice porridge, from low fat milk;100;1;3;3,6;1,3;0,71;0,32;0,06;0;0,05;5;13,8;5,6;0;0,5;;1,0;79,8;10,5;10;6;0,01;0,04;0,04;0,04;0,11;0,89;0,22;0,04;4,3;0,27;0,32;91;83;14;160;146;0,39;0,48;0,05;8,5;0,11;3,2;0,01;0,04;0,01
0984;LASANJA, grænmetis-, ofnbakað;Lasagne, vegetable lasagne, baked;100;16;2;6,0;3,3;1,5;0,9;0,5;0;0,1;8;20,4;3,0;0;2,1;;1,3;67,0;74,8333;19;670;0,04;0,32;0,32;0,08;0,08;2,1;0,90;0,06;17;0,19;3,4;96;120;25;190;220;0,66;0,70;0,10;6,5;0,21;1,6;0,02;;
0985;NÚÐLURÉTTUR, þurrkaður;Noodle dish, dried;100;16;2;10,4;17,2;;;;;;0;60,6;2,4;0;5;;0,7;6,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0986;SÚPA, pastasúpa;Soup with pasta;100;15;2;2,9;2,2;0,63;0,63;0,51;0;0;0;8,5;0,8;0;0,3;;1,0;84,8;6,21667;6,2;0,20;0;0,36;0,36;0,03;0,03;1,2;0,70;0,03;2,6;0;0;34;42;7,4;382;88;0,92;0,38;0,04;0,88;0,04;0,80;;0,38;0,12
0987;PASTA, Tortellini með kjöti, soðið;Pasta, Tortellini with meat, boiled;100;4;7;5,6;4,3;1,5;1,8;0,7;0;0;46,3;22,2;1,3;0;3;0;1;63,8;0;;;;0,3;0,3;0,09;0,06;2,2;1,2;0,07;16;0,2;0;172;87;19;327;55;0,87;0,78;0,05;0,4;0,2;1,1;;0,6;0
0988;PASTA, Tortellini með osti, soðið;Pasta, Tortellini with cheese, boil;100;4;7;7,2;5,3;3,1;1,8;0,7;0;0;40,8;25,7;1,4;0;2,6;0;1,3;58;0;;;;0,46;0,46;0,05;0,09;2,4;0,7;0,05;16;0,22;0;434;91;16;392;66;0,66;0,89;0,05;0,4;0,2;1,1;;0,6;0
0989;PASTASALAT m/ gænm., án sósu;Pasta salad w eggg&veget., no sauce;100;16;2;4,0;2,7;0,5;0,7;1,2;0;0;0;13,5;1,6;0;1,9;;0,4;76,6;91,6667;20;860;0;0,74;0,72;0,10;0,05;1,2;0,83;0,05;22;0;4,2;18;58;14;100;130;0,65;0,35;0,07;0,50;0,22;2,6;;;
0990;PASTASALAT m kjúklingi og skinku, án sósu;Pasta salad w chicken and ham, no sauce;100;16;2;6,4;4,4;1,0;1,4;1,5;0;0;11;14,9;0,8;0,3;1,3;;0,6;71,3;26,75;25;21;0;0,83;0,82;0,12;0,08;2,1;1,3;0,08;14;0,06;0,91;11;77;15;230;120;0,56;0,45;0,05;0,70;0,16;4,4;;;
0991;PASTASALAT m túnfiski og grænmeti, án sósu;Pasta salad w tuna and vegetables, no sause;100;16;2;6,7;3,2;0,6;0,9;1,4;0;0;14;14,8;0,8;0,3;1,3;;0,5;72,8;24,9083;23,2;20,5;0,2;1,2;1,2;0,07;0,05;2,5;1,6;0,07;14;0,45;0,91;15;76;17;190;110;0,56;0,39;0,06;2,2;0,16;9,3;0,04;;
0992;SÓSA, Pestósósa;Sauce, Pesto sauce;100;15;1;5,5;47,5;12,8;22,3;10,0;0;0;43;5,6;1,5;1,5;0,5;;1,5;39,4;204,167;150;650;0;3,78;3,78;0,16;0,27;1,8;0,9;0,01;2;0,8;4;560;480;69;480;250;2,4;3,6;0,38;41;1,4;2,2;;6,0;0,2
0993;PITSA, pönnupitsa, með pepperóní, Pizza Hut;Pizza, with pepperoni, Pizza Hut;100;16;1;13;16;6;;;;;;23;5;0;2;0;2,2;43,8;;;;;;;;;;;;;;;;;;600;;;;;;;;;;
0994;PITSA, grænmetispítsa;Pizza, vegetable pizza;100;16;1;3,3;10,6;;;;;;0;21,3;3;0;2,0;;2;60,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0995;KRYDDMAUK (relish);Relish;100;15;1;0,37;0,47;;;;;;0;34,0;18;11;1,1;;2,0;62,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0996;SMJÖRLÍKI, Olivía;Margarine, Olivia;100;10;5;0,1;83,0;25,9;21,9;11,7;0;18,2;0;0;0;0;0;;1,7;17,2;921,75;900;261;7,5;11,8;11,8;0,01;0,4;0;0;0,01;1;0,1;0;8;13;2;700;15;1,10;0,05;;6,9;;;;10,7;0,94
0997;SÓSA, TÓMAT-, Salsasósa;Sauce, Salsa sauce;100;15;1;1,27;0,24;0,03;0,025;0,115;0;0;0;4,6;4;1;1,6;;1,78;90,5;30;0;360;0;0,600;0,600;0,040;0,032;0,9;0,830;0,120;16;0;13,9;30;26;13;434;213;0,97;0,25;;;0,100;0,4;;0,05;0,05
0998;SÓSA, TÓMAT-, tikka masala blanda;Sauce, tikka masala;100;15;1;1,4;9;1;2;5,5;0;0;0;7,6;7,6;3;1,3;;1;79,7;8,33333;0;100;0;1,465;1,465;0,06;0,50;0,4;0,1;0,06;10;0;0;23;42;21;410;490;0,7;0,2;0,16;0,90;0,10;0,40;;5,4;0,1
0999;SÓSA, MAJONES-, grænmetissósa;Sauce, vegetable sauce, made from mayonnaise;100;15;1;2;47;6,7;10;27;;;51;6,5;5;3;0;;1,5;43,0;23,4167;23;5;0,16;4,24;4,24;0,02;0,03;0;0;0,02;7;0,2;0;10,7;28,2;2,5;241;9,9;0,30;0,11;0,05;6;0;1;;24;2,8
1000;SÓSA, MAJONES-, hamborgarasósa;Sauce, mayonnaise, hamburger sauce;100;15;1;3;48;6,8;11;27;0;0;51;11;5;1;0;;1,5;36,5;23,4167;23;5;0,16;4,24;4,24;0,02;0,03;0;0;0,02;7;0,2;0;10,7;28,2;2,5;241;9,9;0,30;0,11;0,05;6;0;1;;24;2,9
1001;SÓSA, MAJONES, hvítlaukssósa, 53%;Sauce, garlic sauce, made from mayonnaise;100;15;1;4;53;;;;;;51;8;6;1;0;;1,5;33,5;;;;;;;;;;;;;;;;;;340;;;;;;;;;;
1002;SÓSA, MAJONES-, sinnepssósa, 41%;Sauce, mustard sauce, made from mayonnaise;100;15;1;3;41;5,8;9,0;23;0;0;51;8;7;1;0;;1,5;46,5;23,4167;23;5;0,16;4,24;4,24;0,02;0,03;0;0;0,02;7;0,2;0;10,7;28,2;2,5;320;9,9;0,30;0,11;0,05;6;;1;;17;2,5
1003;SÓSA, TÓMAT-, pastasósa, 1% fita;Sauce, pasta sauce;100;15;1;2,0;1,5;0,2;0,3;0,8;;;0;9;9;3;1,3;;1,5;84,7;8,33333;0;100;0;1,465;1,465;0,06;0,50;0,4;0,1;0,06;10;0;0;23;42;21;410;490;0,7;0,2;0,16;0,90;0,10;0,40;;0,7;0,07
1004;SÓSA, súrsæt, Uncle Ben's;Sauce, sweet & sour, Uncle Bens;100;15;1;0,4;0,0;0; 0;0;0;0;0;21;21;13;0,7;;0,5;77,4;5;0;60;0;0,1;0,1;0,11;0,073;0;0;0,175;2;0;0;6;4;2;150;16;6,0;0,23;0,206;0,90;0,04;0,40;;0;0
1005;SÓSA, ostasósa, Osta- og smjörsalan;Sauce, cheese sauce, Osta- og smjör;100;15;1;11;12,5;7,3;3,3;0,25;0,01;0,5;40;3;0,05;0;0,1;;1,8;71,6;120,75;116;57;0,11;0,38;0,38;0,05;0,10;2,7;0,2;0,04;22;0,54;0;309;222;16;318;47;0,12;1,6;0,03;15;0,04;4,0;0,05;0,15;0,10
1006;TIRAMISU;Tiramisu;100;1;3;5,9;18,6;11;5,4;0,79;0,05;0,48;129;17,8;12,4;10,2;0,3;;1,0;56,1;186,167;181;62;0,39;1,3;1,3;0,05;0,19;1,8;0,3;0,03;21;0,40;0;104;109;10;210;139;0,62;0,57;0,04;15,6;0,09;6,9;0,01;0,63;0,16
